evaluator,protocol,class,auc,f1
rf,tstr,0,0.6751280878041145,0.8616432524478501
rf,tstr,1,0.5573401205312738,0.035398230088495575
rf,tstr,2,0.6674803149606299,0.0
rf,tstr,3,0.7376323236558013,0.0
rf,tstr,4,0.5659670164917541,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7378700397960227,0.8611584327086882
lr,tstr,1,0.6512575541011559,0.04405286343612335
lr,tstr,2,0.7397270341207349,0.0
lr,tstr,3,0.7926055968975998,0.0
lr,tstr,4,0.821248466675753,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
