evaluator,protocol,class,auc,f1
rf,tstr,0,0.6900816992480296,0.862098138747885
rf,tstr,1,0.5944649230589198,0.0
rf,tstr,2,0.6836692913385827,0.0
rf,tstr,3,0.5597945707997065,0.0
rf,tstr,4,0.5,0.0
rf,trtr,0,0.7349681210377068,0.8605543710021322
rf,trtr,1,0.6405710607922299,0.043478260869565216
rf,trtr,2,0.7231863517060366,0.0
rf,trtr,3,0.7109841735667121,0.0
rf,trtr,4,0.7711939484803054,0.0
lr,tstr,0,0.7097509286742084,0.8624946785866326
lr,tstr,1,0.6398355023947442,0.02654867256637168
lr,tstr,2,0.7294908136482938,0.0
lr,tstr,3,0.7300597421653914,0.0
lr,tstr,4,0.5,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
