evaluator,protocol,class,auc,f1
rf,tstr,0,0.7228456865566506,0.8618925831202046
rf,tstr,1,0.6305699741718699,0.03524229074889868
rf,tstr,2,0.7344146981627298,0.0
rf,tstr,3,0.720181322712504,0.0
rf,tstr,4,0.7448548453046204,0.0
rf,trtr,0,0.7313196505656333,0.861288945795988
rf,trtr,1,0.6279683542716717,0.04329004329004329
rf,trtr,2,0.7265984251968505,0.0
rf,trtr,3,0.7548212975579079,0.0
rf,trtr,4,0.7767139157693881,0.0
lr,tstr,0,0.7508112729308778,0.8619813717188823
lr,tstr,1,0.6787741250616448,0.009389671361502348
lr,tstr,2,0.7554435695538058,0.0
lr,tstr,3,0.7529609055654544,0.0
lr,tstr,4,0.7800872291127164,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
