column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9692430278884462,0.030756972111553815,0.005282205654141225
Age,continuous,0.7676494023904382,0.23235059760956178,6.841103435978992e-149
Race,categorical,0.721593625498008,0.23123505976095626,1.8639010535118923e-147
Race_Ext,categorical,0.7971314741035856,0.1431075697211156,2.0044754983194372e-56
Education,categorical,0.7348207171314741,0.22406374501992032,2.120370172411367e-138
Marital_Status,categorical,0.8613545816733067,0.1297211155378486,2.0738385963069162e-46
Income_Ratio,continuous,0.8140239043824702,0.1859760956175298,3.169242711004829e-95
Arthritis,categorical,0.9450199203187251,0.05498007968127494,1.1475695860454762e-08
Congestive_Heart_Failure,categorical,0.9644621513944223,0.03553784860557763,0.000722473233385839
Coronary_Heart_Disease,categorical,0.955219123505976,0.04478087649402385,6.834791986598772e-06
Heart_Attack,categorical,0.9534661354581674,0.046533864541832615,2.5016361710537437e-06
Stroke,categorical,0.9482071713147411,0.05179282868525892,9.72760671948387e-08
Cancer,categorical,0.9147410358565737,0.08525896414342626,2.9432901014528507e-20
Sleep_Hours_Weekday,continuous,0.7007171314741036,0.29928286852589636,2.777361816217712e-248
Sleep_Hours_Weekend,continuous,0.7023107569721116,0.2976892430278884,1.3104370619455447e-245
Trouble_Sleeping_Doc,categorical,0.923187250996016,0.07681274900398405,1.6116012057724295e-16
Ever_Had_Drink,categorical,0.9042231075697211,0.09577689243027888,1.8443751665021844e-25
Drinking_Freq,continuous,0.7620717131474104,0.2379282868525896,3.5565419103983367e-156
Avg_Drinks_Per_Day,continuous,0.2371314741035856,0.7628685258964144,0.0
Binge_Drinking_Freq,continuous,0.8331474103585657,0.16685258964143435,1.2084383770378065e-76
Total_Calories,continuous,0.7241434262948208,0.2758565737051793,1.6811683799540145e-210
Total_Sugar,continuous,0.00701195219123496,0.992988047808765,0.0
Total_Caffeine,continuous,0.1483665338645418,0.8516334661354582,0.0
