evaluator,protocol,class,auc,f1
rf,tstr,0,0.5970125890293021,0.862098138747885
rf,tstr,1,0.5684737999113986,0.0
rf,tstr,2,0.523018372703412,0.0
rf,tstr,3,0.507035426055969,0.0
rf,tstr,4,0.5,0.0
rf,trtr,0,0.7313196505656333,0.861288945795988
rf,trtr,1,0.6279683542716717,0.04329004329004329
rf,trtr,2,0.7265984251968505,0.0
rf,trtr,3,0.7548212975579079,0.0
rf,trtr,4,0.7767139157693881,0.0
lr,tstr,0,0.6656501923574778,0.8587328767123288
lr,tstr,1,0.6370520825497129,0.04184100418410042
lr,tstr,2,0.6219842519685039,0.0
lr,tstr,3,0.6598889005345352,0.0
lr,tstr,4,0.5,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
