evaluator,protocol,class,auc,f1
rf,tstr,0,0.6904354082253141,0.8626444159178434
rf,tstr,1,0.5858576360156139,0.04201680672268908
rf,tstr,2,0.683984251968504,0.0
rf,tstr,3,0.7604286762393879,0.0
rf,tstr,4,0.671255281450184,0.0
rf,trtr,0,0.7350960583273629,0.8594617684750107
rf,trtr,1,0.6400590954303434,0.02564102564102564
rf,trtr,2,0.6978792650918635,0.0
rf,trtr,3,0.7539042029137408,0.0
rf,trtr,4,0.7881627368134115,0.0
lr,tstr,0,0.7450285074384245,0.861995753715499
lr,tstr,1,0.6718615478489096,0.0182648401826484
lr,tstr,2,0.7421207349081366,0.0
lr,tstr,3,0.7643590818572477,0.0
lr,tstr,4,0.7230475671255281,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
