metric,mean,std,min,max
seed,44.0,1.5811388300841898,42.0,46.0
fidelity_score,0.8830486748657543,0.0032818341603324543,0.8798544950632256,0.8874207517755065
tstr_auc,0.6719752465189309,0.020460169105595453,0.6407095726887148,0.6949822035619089
trtr_auc,0.718959469375282,0.004644852875276333,0.712538011114347,0.7234843286722903
utility_ratio,0.9345429048544375,0.022981080573283096,0.8991935345129183,0.9606043642124393
tstr_auc_lr,0.7403762361748419,0.011241346151807486,0.7276066960503942,0.7520646330372311
trtr_auc_lr,0.7581540787225725,0.0,0.7581540787225725,0.7581540787225725
utility_ratio_lr,0.9765511483131704,0.014827258030120017,0.9597082129747978,0.9919680631467399
dcr_syn_mean,0.4447739914120574,0.004091200508071172,0.43851370757982294,0.44878180860813255
dcr_holdout_mean,0.43279932051454295,6.206335383118183e-17,0.432799320514543,0.432799320514543
dcr_ratio,1.027667952166094,0.009452881079404762,1.0132033180146547,1.0369281727951616
dcr_share_close,0.0161593625498008,0.001580021616949219,0.013864541832669323,0.018167330677290837
mia_auc_domias,0.519212725086718,0.012899692129726126,0.5039349926065146,0.5341158911568387
mia_auc_domias_clf,0.49802258122469284,0.002780596278698733,0.4950780116361024,0.5025557966307818
mia_tpr_at_fpr01,0.012193308550185874,0.0035109944841985414,0.005947955390334572,0.01412639405204461
c2st_acc,0.9926055776892431,0.0010606891660426647,0.9914741035856574,0.9940239043824702
clinical_flags,0.0,0.0,0.0,0.0
