metric,mean,std,min,max
seed,44.0,1.5811388300841898,42.0,46.0
fidelity_score,0.7529353888792656,0.0054464531363547525,0.7453247878053004,0.7585449506322537
tstr_auc,0.5734058135216611,0.030479314546007674,0.5391080375400163,0.6056020968890478
trtr_auc,0.718959469375282,0.004644852875276333,0.712538011114347,0.7234843286722903
utility_ratio,0.7975574900101007,0.04226641167403188,0.7451551003590721,0.8455995401396137
tstr_auc_lr,0.6496643850851604,0.020441031541455584,0.616915085482046,0.668705518603463
trtr_auc_lr,0.7581540787225725,0.0,0.7581540787225725,0.7581540787225725
utility_ratio_lr,0.856902842466787,0.026961579598565297,0.8137067421987592,0.8820179662294728
dcr_syn_mean,0.435249024545045,0.005199079751896493,0.4284684319846655,0.4406691583392855
dcr_holdout_mean,0.43279932051454295,6.206335383118183e-17,0.432799320514543,0.432799320514543
dcr_ratio,1.0056601383467738,0.01201268002388602,0.9899933102373436,1.0181835725051191
dcr_share_close,0.00149800796812749,0.00018170126296400608,0.0012749003984063745,0.001752988047808765
mia_auc_domias,0.5019610010917482,0.010090390843510951,0.4906222965409544,0.5142742637608656
mia_auc_domias_clf,0.5153934854410525,0.011066171748710487,0.4992388164895455,0.529637235527425
mia_tpr_at_fpr01,0.012193308550185872,0.001449337449042226,0.010408921933085501,0.01412639405204461
c2st_acc,0.9985657370517927,0.0006690380726592035,0.9975298804780877,0.9990438247011951
clinical_flags,0.0,0.0,0.0,0.0
