bandwidth,name,seed,fidelity_score,utility_ratio,dcr_ratio,dcr_share_close,mia_auc_domias,mia_auc_domias_clf,mia_tpr_at_fpr01,c2st_acc,ax3_pass,ax4_pass
0.005,kdedial0,42,0.9398025290143772,1.0110602648580285,0.0337304022595606,1.0,0.747679551139426,0.5340702864802863,0.0869888475836431,0.9466135458167332,False,False
0.005,kdedial0,43,0.9401558981465444,0.9967345559348696,0.0337175528667883,1.0,0.7460471801108333,0.5449606832409724,0.078810408921933,0.9490836653386454,False,False
0.005,kdedial0,44,0.9409942837346266,0.99172453338793,0.0337003375072065,1.0,0.7590939870924946,0.5412628349525297,0.104089219330855,0.9489243027888444,False,False
0.005,kdedial0,45,0.9420474623246146,1.0031777084560336,0.0335977897333084,1.0,0.7550857506115173,0.5325158579898012,0.0862453531598513,0.9491633466135456,False,False
0.005,kdedial0,46,0.939511519140828,0.9486070807977444,0.0336001638862975,1.0,0.7695244675999502,0.5327394591008969,0.1293680297397769,0.9412749003984064,False,False
0.01,kdedial1,42,0.9400242508227958,0.9781894581947624,0.0672815042403618,1.0,0.7460062740979257,0.5296737192686668,0.0869888475836431,0.9471713147410356,False,False
0.01,kdedial1,43,0.9405785553438422,0.9462602033753902,0.0672555458714718,1.0,0.7433440665551886,0.5413675875126103,0.0758364312267658,0.9517131474103586,False,False
0.01,kdedial1,44,0.9410150701541656,0.9853801788624102,0.0672187487941033,1.0,0.7573051782037286,0.5353842539489504,0.0944237918215613,0.9513147410358568,False,False
0.01,kdedial1,45,0.941804954096657,0.9921538636556624,0.0670146587866908,1.0,0.7512919943063252,0.5258512181976479,0.0966542750929368,0.9501992031872512,False,False
0.01,kdedial1,46,0.9397540273687855,0.9769707078327202,0.06702008295716,1.0,0.7677400809828498,0.5306913945357306,0.1315985130111524,0.945577689243028,False,False
0.02,kdedial2,42,0.9393036549454356,0.9895861865352196,0.1336988144880218,1.0,0.7397979574632744,0.5253802462652533,0.0855018587360594,0.9555378486055776,False,False
0.02,kdedial2,43,0.9395669495929329,0.9661530657690688,0.1336420775013552,1.0,0.735129696936195,0.5412821823910671,0.0758364312267658,0.954422310756972,False,False
0.02,kdedial2,44,0.9403291183093712,0.9944413412158772,0.1335241758200137,1.0,0.7511350036621938,0.5286781553599315,0.0929368029739776,0.956414342629482,False,False
0.02,kdedial2,45,0.940315260696345,0.9832090848409364,0.1332441720898508,1.0,0.743885794834234,0.5255618357955252,0.0907063197026022,0.9564940239043824,False,False
0.02,kdedial2,46,0.9381673306772907,0.959692965319798,0.1332465192894175,1.0,0.7625367255842235,0.5246964525089483,0.1382899628252788,0.952589641434263,False,False
0.05,kdedial3,42,0.9321115537848604,0.9867988812821532,0.3455424144365844,0.6973705179282869,0.7072002874476582,0.5151437929271292,0.0758364312267658,0.9571314741035856,False,False
0.05,kdedial3,43,0.932250129915122,0.9687322607419944,0.3462393868488914,0.6924302788844622,0.6963297909094679,0.5269139453573057,0.0631970260223048,0.9592828685258964,False,False
0.05,kdedial3,44,0.9314602459726312,0.9453068937747388,0.3452143698214571,0.6992828685258964,0.7185102472326254,0.5210074487638369,0.0840148698884758,0.9598406374501992,False,False
0.05,kdedial3,45,0.9331716611813616,0.9985170236032604,0.3449021488665192,0.6984860557768924,0.7021412086621246,0.5087574798579345,0.0691449814126394,0.9608764940239044,False,False
0.05,kdedial3,46,0.9318205439113112,0.976459545739382,0.344977004278689,0.6999203187250996,0.723234338939484,0.5189378256243004,0.1085501858736059,0.957211155378486,False,False
0.1,kdedial4,42,0.91176164905595,0.9849429475606518,0.7350340706760059,0.0280478087649402,0.6464731001506336,0.507067619297688,0.0542750929368029,0.963187250996016,False,False
0.1,kdedial4,43,0.912454529707258,0.9894279833720818,0.7390050910066637,0.0269322709163346,0.6293484059092606,0.521627672364948,0.0550185873605948,0.9640637450199204,False,False
0.1,kdedial4,44,0.9130296206478432,0.9792125254884976,0.7340518477363369,0.0250199203187251,0.6539179944997995,0.5165177374552591,0.0594795539033457,0.9625498007968128,False,False
0.1,kdedial4,45,0.9135908539754026,0.9821543843053115,0.7359093112834434,0.0234262948207171,0.6396522988902862,0.5098188250576968,0.0594795539033457,0.9624701195219124,False,False
0.1,kdedial4,46,0.9133344881344188,0.9288465450239068,0.7335406981900299,0.0304382470119521,0.6518207321623526,0.5132626691173422,0.0646840148698884,0.9629482071713148,False,False
0.15,kdedial5,42,0.8963727697904037,0.9819595254532404,1.0528855950945415,0.0022310756972111,0.6083680435593759,0.5094426555741353,0.0446096654275092,0.9701195219123508,True,False
0.15,kdedial5,43,0.8960679023038284,0.9649077416163244,1.056745582100144,0.0012749003984063,0.5842025400422879,0.5215295532123658,0.0408921933085501,0.9723505976095616,True,False
0.15,kdedial5,44,0.8980010393209771,0.9821373324441433,1.050587691108096,0.0017529880478087,0.6107383811721784,0.5193131659319247,0.041635687732342,0.9711553784860556,True,False
0.15,kdedial5,45,0.8978139615451239,0.9594643467816062,1.0568358604065489,0.0006374501992031,0.5960216138527661,0.512908887384088,0.0468401486988847,0.9702788844621514,True,False
0.15,kdedial5,46,0.8976407413822969,0.9650333634580676,1.0535817063658317,0.0017529880478087,0.6049479692099335,0.5125410096598997,0.049814126394052,0.969402390438247,True,False
0.2,kdedial6,42,0.882127143599515,0.9335630802830314,1.346819039199587,0.0004780876494023,0.5815220906289299,0.5063788504857589,0.0394052044609665,0.9782470119521912,True,False
0.2,kdedial6,43,0.8811986835267626,0.9105437225522088,1.346256778458845,0.0,0.5575262917870123,0.5207879935324278,0.0312267657992565,0.978406374501992,True,False
0.2,kdedial6,44,0.8835198337086436,0.9216253079636488,1.3477473795097814,0.0001593625498007,0.5746874697696273,0.5160343278838048,0.0319702602230483,0.977211155378486,True,False
0.2,kdedial6,45,0.8829308851550323,0.882972906771143,1.3495864603137953,0.0001593625498007,0.5716919335000898,0.511365514572767,0.0342007434944237,0.9763346613545816,True,False
0.2,kdedial6,46,0.8830902477048328,0.949345845683836,1.3495353490562336,0.0001593625498007,0.5745796768977764,0.5131501775818466,0.041635687732342,0.9767330677290836,True,False
