metric,mean,std,min,max
seed,44.0,1.5811388300841898,42.0,46.0
fidelity_score,0.8336462844275074,0.0012005244547379874,0.8326831803221895,0.8357249263814309
tstr_auc,0.49222656547853794,0.018106689985476442,0.4701938266823036,0.5177669672676799
trtr_auc,0.718959469375282,0.004644852875276333,0.712538011114347,0.7234843286722903
utility_ratio,0.6846701482444779,0.025782144904552124,0.6503190091292772,0.7156574741817356
tstr_auc_lr,0.4939886134923664,0.034366802004049714,0.45903672968039855,0.5425223033752582
trtr_auc_lr,0.7581540787225725,0.0,0.7581540787225725,0.7581540787225725
utility_ratio_lr,0.6515675736054823,0.045329574777141564,0.6054662799596592,0.7155831757699752
dcr_syn_mean,0.7254597553509632,0.0022093687849071833,0.721941045166774,0.7276233380110564
dcr_holdout_mean,0.43279932051454295,6.206335383118183e-17,0.432799320514543,0.432799320514543
dcr_ratio,1.6762035450713841,0.005104834227282338,1.6680734255970608,1.6812025886408632
dcr_share_close,0.00012749003984063745,0.0001333322751448726,0.0,0.00031872509960159364
mia_auc_domias,0.4894863255068338,0.009710878397094558,0.47375741075993977,0.4999284144774119
mia_auc_domias_clf,0.5000250963917028,0.0045987499331570855,0.49355149873550674,0.5057235251033014
mia_tpr_at_fpr01,0.007881040892193308,0.0013506246932776917,0.005947955390334572,0.009665427509293681
c2st_acc,0.9967490039840637,0.00029492837487370057,0.9963346613545816,0.9970517928286853
clinical_flags,0.0,0.0,0.0,0.0
