evaluator,protocol,class,auc,f1
rf,tstr,0,0.6756277958060651,0.8611704399829133
rf,tstr,1,0.5421337044559793,0.042735042735042736
rf,tstr,2,0.6826404199475066,0.0
rf,tstr,3,0.6876899696048633,0.0
rf,tstr,4,0.728329017309527,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7377405973617825,0.8642186165670367
lr,tstr,1,0.6430953634745105,0.05150214592274678
lr,tstr,2,0.7106351706036745,0.0
lr,tstr,3,0.7860287181637146,0.0
lr,tstr,4,0.8014856208259507,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
