evaluator,protocol,class,auc,f1
rf,tstr,0,0.720974791838504,0.8621425522833973
rf,tstr,1,0.6393548818509324,0.06060606060606061
rf,tstr,2,0.7209553805774278,0.0
rf,tstr,3,0.7133948223456661,0.0
rf,tstr,4,0.8074144745808914,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7485926898137836,0.8624089155593656
lr,tstr,1,0.670402968981168,0.059322033898305086
lr,tstr,2,0.7614908136482939,0.02531645569620253
lr,tstr,3,0.7835918666806414,0.0
lr,tstr,4,0.7847212757257735,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
