evaluator,protocol,class,auc,f1
rf,tstr,0,0.6147552333877192,0.8610169491525423
rf,tstr,1,0.5748263497078663,0.0
rf,tstr,2,0.5174593175853018,0.0
rf,tstr,3,0.5120008384865318,0.0
rf,tstr,4,0.5,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7143867739935099,0.8599571734475375
lr,tstr,1,0.6392754749784765,0.05
lr,tstr,2,0.7451968503937008,0.0
lr,tstr,3,0.6863274289906718,0.0
lr,tstr,4,0.5,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
