evaluator,protocol,class,auc,f1
rf,tstr,0,0.6126871647290438,0.8611464968152867
rf,tstr,1,0.4913885336476175,0.02727272727272727
rf,tstr,2,0.5940892388451444,0.0
rf,tstr,3,0.6143354994235405,0.0
rf,tstr,4,0.6304347826086957,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.6777635959710289,0.8622754491017964
lr,tstr,1,0.5696231099074701,0.05084745762711865
lr,tstr,2,0.6858687664041996,0.0
lr,tstr,3,0.7143381196939524,0.0
lr,tstr,4,0.8308572986234155,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
