evaluator,protocol,class,auc,f1
rf,tstr,0,0.48242442669042784,0.8616165890816758
rf,tstr,1,0.46724675476650196,0.0
rf,tstr,2,0.5005721784776904,0.0
rf,tstr,3,0.4525862068965517,0.0
rf,tstr,4,0.4481395665803462,0.0
rf,trtr,0,0.7350960583273629,0.8594617684750107
rf,trtr,1,0.6400590954303434,0.02564102564102564
rf,trtr,2,0.6978792650918635,0.0
rf,trtr,3,0.7539042029137408,0.0
rf,trtr,4,0.7881627368134115,0.0
lr,tstr,0,0.4695900588210503,0.862098138747885
lr,tstr,1,0.4638155420145942,0.0
lr,tstr,2,0.5318950131233596,0.0
lr,tstr,3,0.5146997170107955,0.0
lr,tstr,4,0.315183317432193,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
