column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9427888446215139,0.057211155378486034,2.3822094101176564e-09
Age,continuous,0.9510756972111554,0.04892430278884463,5.969615046341552e-07
Race,categorical,0.9595219123505976,0.024701195219123506,0.04347224507849094
Race_Ext,categorical,0.9534661354581673,0.025179282868525887,0.0374297501020129
Education,categorical,0.9499601593625498,0.03968127490039841,0.00010212663058783095
Marital_Status,categorical,0.9168127490039841,0.08318725099601587,2.642614503796092e-19
Income_Ratio,continuous,0.8659760956175299,0.13402390438247014,1.6078394980553974e-49
Arthritis,categorical,0.9816733067729084,0.018326693227091573,0.24264229814777738
Congestive_Heart_Failure,categorical,0.9941035856573704,0.005896414342629441,0.9999073139992715
Coronary_Heart_Disease,categorical,0.9993625498007968,0.0006374501992031378,0.9999999999999993
Heart_Attack,categorical,0.9907569721115538,0.00924302788844622,0.9514833647293087
Stroke,categorical,0.9625498007968127,0.03745019920318726,0.00030081765162477274
Cancer,categorical,0.9341832669322709,0.06581673306772906,3.078274004758049e-12
Sleep_Hours_Weekday,continuous,0.7907569721115537,0.2092430278884463,1.282628230788842e-120
Sleep_Hours_Weekend,continuous,0.7400796812749004,0.2599203187250996,1.1873088163712829e-186
Trouble_Sleeping_Doc,categorical,0.9518725099601594,0.048127490039840626,9.70153487566077e-07
Ever_Had_Drink,categorical,0.9456573705179283,0.054342629482071705,1.7777322085520127e-08
Drinking_Freq,continuous,0.7501195219123507,0.2498804780876494,2.16964869127933e-172
Avg_Drinks_Per_Day,continuous,0.7078884462151395,0.29211155378486053,2.2707431980406933e-236
Binge_Drinking_Freq,continuous,0.5550597609561754,0.4449402390438247,0.0
Total_Calories,continuous,0.8852589641434263,0.11474103585657369,2.2189953803217924e-36
Total_Sugar,continuous,0.9327490039840638,0.06725099601593626,9.27820720386976e-13
Total_Caffeine,continuous,0.8908366533864541,0.10916334661354588,5.802734623601741e-33
