evaluator,protocol,class,auc,f1
rf,tstr,0,0.6996152850442814,0.8621575342465754
rf,tstr,1,0.6233167832693899,0.0502092050209205
rf,tstr,2,0.6178635170603676,0.0
rf,tstr,3,0.5,0.0
rf,tstr,4,0.4838830584707646,0.0
rf,trtr,0,0.7349681210377068,0.8605543710021322
rf,trtr,1,0.6405710607922299,0.043478260869565216
rf,trtr,2,0.7231863517060366,0.0
rf,trtr,3,0.7109841735667121,0.0
rf,trtr,4,0.7711939484803054,0.0
lr,tstr,0,0.7255880599890425,0.8623693379790941
lr,tstr,1,0.6482526308750637,0.1444043321299639
lr,tstr,2,0.7026771653543307,0.0
lr,tstr,3,0.5,0.0
lr,tstr,4,0.7494888919176775,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
