evaluator,protocol,class,auc,f1
rf,tstr,0,0.6943021246620951,0.8614993646759848
rf,tstr,1,0.6354994692277472,0.0
rf,tstr,2,0.5430551181102362,0.0
rf,tstr,3,0.5022010271460015,0.0
rf,tstr,4,0.5260665121984461,0.0
rf,trtr,0,0.7313196505656333,0.861288945795988
rf,trtr,1,0.6279683542716717,0.04329004329004329
rf,trtr,2,0.7265984251968505,0.0
rf,trtr,3,0.7548212975579079,0.0
rf,trtr,4,0.7767139157693881,0.0
lr,tstr,0,0.735702631594791,0.862862010221465
lr,tstr,1,0.666883990738651,0.03524229074889868
lr,tstr,2,0.715002624671916,0.0
lr,tstr,3,0.7685515145162981,0.0
lr,tstr,4,0.8073463268365816,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
