evaluator,protocol,class,auc,f1
rf,tstr,0,0.6993804824891479,0.8616432524478501
rf,tstr,1,0.6169370679639242,0.017699115044247787
rf,tstr,2,0.5372335958005249,0.0
rf,tstr,3,0.5342338329315586,0.0
rf,tstr,4,0.5300190813684067,0.0
rf,trtr,0,0.7355235193892726,0.8595817328211695
rf,trtr,1,0.6458328109196987,0.034482758620689655
rf,trtr,2,0.7177007874015748,0.0
rf,trtr,3,0.7233256472067917,0.0
rf,trtr,4,0.775487256371814,0.0
lr,tstr,0,0.7237788761988476,0.8624247635425624
lr,tstr,1,0.6615888061385693,0.08032128514056225
lr,tstr,2,0.7359265091863517,0.0
lr,tstr,3,0.7491615134681899,0.0
lr,tstr,4,0.8087774294670846,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
