column,kind,fidelity,ks_stat,ks_pvalue
Gender,categorical,0.9912350597609562,0.008764940239043784,0.9694582483202294
Age,continuous,0.934980079681275,0.06501992031872506,5.9265106397054904e-12
Race,categorical,0.9185657370517929,0.04031872509960166,7.414837961822833e-05
Race_Ext,categorical,0.8890836653386455,0.07760956175298805,7.43518726669249e-17
Education,categorical,0.8777689243027889,0.0656573705179283,3.5114270073037407e-12
Marital_Status,categorical,0.9525099601593625,0.026932270916334655,0.021097612701514237
Income_Ratio,continuous,0.8473306772908366,0.15266932270916345,3.4544059338824035e-64
Arthritis,categorical,0.981195219123506,0.018804780876493954,0.21717429881847505
Congestive_Heart_Failure,categorical,0.9993625498007969,0.0006374501992032489,0.9999999999999993
Coronary_Heart_Disease,categorical,0.9923505976095618,0.00764940239043832,0.9929500251658017
Heart_Attack,categorical,0.9974501992031872,0.0025498007968127734,0.9999999999999998
Stroke,categorical,0.9964940239043825,0.0035059760956175356,0.9999999999998408
Cancer,categorical,0.967011952191235,0.03298804780876485,0.002163401854906137
Sleep_Hours_Weekday,continuous,0.8817529880478088,0.11824701195219123,1.288551593552822e-38
Sleep_Hours_Weekend,continuous,0.84398406374502,0.15601593625498006,5.019427507044867e-67
Trouble_Sleeping_Doc,categorical,0.9926693227091633,0.007330677290836585,0.9959516575135973
Ever_Had_Drink,categorical,0.9963346613545817,0.00366533864541832,0.9999999999976786
Drinking_Freq,continuous,0.6554581673306773,0.3445418326693227,0.0
Avg_Drinks_Per_Day,continuous,0.6415936254980079,0.3584063745019921,0.0
Binge_Drinking_Freq,continuous,0.2764940239043825,0.7235059760956175,0.0
Total_Calories,continuous,0.9306772908366534,0.0693227091633466,1.567660216892577e-13
Total_Sugar,continuous,0.9335458167330677,0.06645418326693231,1.8122230436665594e-12
Total_Caffeine,continuous,0.8114741035856573,0.1885258964143427,7.375497460788305e-98
