metric,mean,std,min,max
seed,44.0,1.5811388300841898,42.0,46.0
fidelity_score,0.8913355274553958,0.006361887744270201,0.8819677810497144,0.8987354928113632
tstr_auc,0.6068522886151498,0.033641801026751246,0.5802248502689051,0.6531398486886918
trtr_auc,0.718959469375282,0.004644852875276333,0.712538011114347,0.7234843286722903
utility_ratio,0.8442028100968908,0.049534786682438596,0.801986756691345,0.9166386052404956
tstr_auc_lr,0.7249360423822108,0.03370242687500599,0.6652013496272229,0.7475697056547526
trtr_auc_lr,0.7581540787225725,0.0,0.7581540787225725,0.7581540787225725
utility_ratio_lr,0.9561856392089437,0.04445326856486985,0.8773959915219776,0.9860392849357829
dcr_syn_mean,0.3453548155439885,0.009244337856429191,0.33737695497409614,0.3605753933413838
dcr_holdout_mean,0.43279932051454295,6.206335383118183e-17,0.432799320514543,0.432799320514543
dcr_ratio,0.7979560021799615,0.021359409357294874,0.779522838836711,0.8331237510093726
dcr_share_close,0.10272509960159364,0.006559661444566258,0.09418326693227091,0.11139442231075697
mia_auc_domias,0.5232869639723056,0.008304940159219195,0.5127248103260044,0.5326239272536311
mia_auc_domias_clf,0.5181272785063777,0.004466782816954924,0.5128475283647268,0.5236583242354307
mia_tpr_at_fpr01,0.010111524163568772,0.0026075357497026296,0.007434944237918215,0.01412639405204461
c2st_acc,0.9915219123505977,0.0009095539872590334,0.9904382470119522,0.9925099601593625
clinical_flags,0.0,0.0,0.0,0.0
