evaluator,protocol,class,auc,f1
rf,tstr,0,0.4596455685533153,0.859447983014862
rf,tstr,1,0.46389076957797337,0.01818181818181818
rf,tstr,2,0.5549553805774278,0.0
rf,tstr,3,0.4780028298920449,0.0
rf,tstr,4,0.5159124982963064,0.0
rf,trtr,0,0.7349681210377068,0.8605543710021322
rf,trtr,1,0.6405710607922299,0.043478260869565216
rf,trtr,2,0.7231863517060366,0.0
rf,trtr,3,0.7109841735667121,0.0
rf,trtr,4,0.7711939484803054,0.0
lr,tstr,0,0.5055268909131411,0.862098138747885
lr,tstr,1,0.5373546645268604,0.0
lr,tstr,2,0.5903832020997375,0.0
lr,tstr,3,0.4940257834608532,0.0
lr,tstr,4,0.5853209758756985,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
