evaluator,protocol,class,auc,f1
rf,tstr,0,0.4942187396521309,0.8628281117696867
rf,tstr,1,0.49641206315771874,0.009389671361502348
rf,tstr,2,0.5743359580052494,0.0
rf,tstr,3,0.5344827586206897,0.0
rf,tstr,4,0.39086138748807414,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.47378038134343187,0.862098138747885
lr,tstr,1,0.47903240636258015,0.0
lr,tstr,2,0.442488188976378,0.0
lr,tstr,3,0.696048632218845,0.0
lr,tstr,4,0.47369497069646993,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
