evaluator,protocol,class,auc,f1
rf,tstr,0,0.708176547439147,0.8613945578231292
rf,tstr,1,0.5842820364937269,0.036036036036036036
rf,tstr,2,0.7234383202099738,0.0
rf,tstr,3,0.7001624567655382,0.0
rf,tstr,4,0.6089341692789968,0.0
rf,trtr,0,0.7349681210377068,0.8605543710021322
rf,trtr,1,0.6405710607922299,0.043478260869565216
rf,trtr,2,0.7231863517060366,0.0
rf,trtr,3,0.7109841735667121,0.0
rf,trtr,4,0.7711939484803054,0.0
lr,tstr,0,0.7479725702450978,0.8626444159178434
lr,tstr,1,0.6717278099584577,0.05063291139240506
lr,tstr,2,0.7497112860892388,0.0
lr,tstr,3,0.7725605282465151,0.0
lr,tstr,4,0.7799509336240971,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
