evaluator,protocol,class,auc,f1
rf,tstr,0,0.7263857866186625,0.8623931623931624
rf,tstr,1,0.6443888596337255,0.034334763948497854
rf,tstr,2,0.7218635170603676,0.0
rf,tstr,3,0.6977518079865842,0.0
rf,tstr,4,0.6945958838762436,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.748397021017839,0.862526766595289
lr,tstr,1,0.6698847346556667,0.05106382978723404
lr,tstr,2,0.7613648293963254,0.02564102564102564
lr,tstr,3,0.7830416098941411,0.0
lr,tstr,4,0.7826768433964836,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
