evaluator,protocol,class,auc,f1
rf,tstr,0,0.674796955995593,0.8606627017841971
rf,tstr,1,0.5349787273168001,0.00904977375565611
rf,tstr,2,0.6592388451443569,0.0
rf,tstr,3,0.6865370506236244,0.0
rf,tstr,4,0.770444323292899,0.0
rf,trtr,0,0.7356529618235127,0.8578745198463509
rf,trtr,1,0.6434652323277916,0.02586206896551724
rf,trtr,2,0.721259842519685,0.0
rf,trtr,3,0.6971491457918457,0.0
rf,trtr,4,0.7651628731089001,0.0
lr,tstr,0,0.7430989120814946,0.8616165890816758
lr,tstr,1,0.6049173750595551,0.0
lr,tstr,2,0.7251233595800525,0.0
lr,tstr,3,0.7672151766062258,0.0
lr,tstr,4,0.8519830993594112,0.0
lr,trtr,0,0.7511393944502309,0.863481228668942
lr,trtr,1,0.6778881115374007,0.04329004329004329
lr,trtr,2,0.7649553805774278,0.0
lr,trtr,3,0.786578974950215,0.0
lr,trtr,4,0.8102085320975876,0.0
